sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
139,1,113,0,415,54274,0,12511,19,0
140,0,43,0,394,72201,0,153,27,0
140,1,114,0,418,54642,0,12601,20,0
141,0,43,0,395,72700,0,154,27,0
141,1,115,0,421,55010,0,12692,20,0
142,0,43,0,397,73196,0,155,28,0
142,1,117,0,423,55383,0,12780,20,0
143,0,43,0,398,73695,0,156,28,0
143,1,117,0,426,55751,0,12871,20,0
144,0,43,0,400,74193,0,157,28,0
144,1,118,0,430,56120,0,12961,20,0
145,0,43,0,401,74692,0,158,28,0
145,1,119,0,435,56492,0,13050,20,0
146,0,44,0,402,75189,0,159,28,0
146,1,121,0,437,56859,0,13141,20,0
147,0,44,0,403,75688,0,160,28,0
147,1,122,0,440,57228,0,13232,21,0
148,0,44,0,404,76185,0,161,29,0
148,1,123,0,441,57599,0,13321,21,0
149,0,44,0,405,76684,0,162,29,0
149,1,123,0,444,57968,0,13411,21,0
150,0,45,0,407,77181,0,163,29,0
150,1,124,0,446,58336,0,13501,21,0
151,0,45,0,407,77680,0,164,29,0
151,1,125,0,449,58703,0,13593,21,0
152,0,46,0,409,78178,0,165,29,0
152,1,125,0,452,59074,0,13682,21,0
153,0,46,0,409,78677,0,166,30,0
153,1,127,0,454,59443,0,13773,21,0
154,0,46,0,411,79174,0,167,30,0
154,1,127,0,455,59812,0,13863,22,0
155,0,46,0,412,79673,0,168,30,0
155,1,127,0,459,60179,0,13956,22,0
156,0,47,0,414,80170,0,169,30,0
156,1,129,0,461,60547,0,14046,22,0
157,0,47,0,415,80669,0,169,30,0
157,1,129,0,466,60916,0,14137,22,0
158,0,47,0,417,81166,0,171,31,0
158,1,131,0,470,61287,0,14226,22,0
159,0,47,0,418,81665,0,171,31,0
159,1,133,0,472,61656,0,14315,22,0
160,0,48,0,420,82162,0,173,31,0
160,1,133,0,475,62023,0,14407,22,0
161,0,48,0,421,82661,0,173,31,0
161,1,134,0,480,62390,0,14499,23,0
162,0,48,0,424,83158,0,175,31,0
162,1,135,0,483,62758,0,14590,23,0
163,0,48,0,424,83657,0,175,31,0
163,1,136,0,485,63128,0,14679,23,0
164,0,48,0,425,84155,0,176,32,0
164,1,137,0,488,63498,0,14768,23,0
165,0,48,0,426,84654,0,177,32,0
165,1,137,0,492,63870,0,14856,23,0
166,0,48,0,428,85151,0,178,32,0
166,1,138,0,495,64239,0,14945,23,0
167,0,48,0,429,85650,0,179,32,0
167,1,138,0,497,64606,0,15036,23,0
168,0,49,0,431,86147,0,180,33,0
168,1,139,0,501,64975,0,15126,24,0
169,0,49,0,432,86646,0,181,33,0
169,1,141,0,502,65344,0,15217,24,0
170,0,50,0,434,87143,0,182,33,0
170,1,143,0,505,65712,0,15309,24,0
171,0,50,0,435,87642,0,183,33,0
171,1,143,0,508,66078,0,15401,24,0
172,0,51,0,436,88139,0,184,33,0
172,1,144,0,512,66445,0,15493,24,0
173,0,51,0,437,88638,0,185,33,0
173,1,144,0,515,66813,0,15584,24,0
174,0,52,0,438,89135,0,186,34,0
174,1,146,0,520,67180,0,15675,24,0
175,0,52,0,439,89634,0,187,34,0
175,1,147,0,524,67549,0,15765,25,0
176,0,53,0,440,90131,0,188,34,0
176,1,148,0,528,67915,0,15857,25,0
177,0,53,0,441,90630,0,189,34,0
177,1,150,0,534,68279,0,15950,25,0
178,0,53,0,443,91127,0,190,34,0
178,1,151,0,536,68651,0,16037,25,0
179,0,53,0,444,91626,0,191,35,0
179,1,153,0,538,69022,0,16126,25,0
180,0,55,0,447,91998,0,192,35,0
180,1,156,0,540,69449,0,16181,25,0
181,0,55,0,449,92150,0,193,35,0
181,1,156,0,540,70027,0,16181,25,0
182,0,55,0,452,92316,0,193,35,0
182,1,156,0,540,70604,0,16181,25,0
183,0,55,0,573,92367,0,201,35,0
183,1,156,0,540,71125,0,16181,25,0
